Lịch ID,Fitness
1914,3.0
1915,4.0
1916,3.4
1917,3.8
1918,4.2
1919,5.0
1920,4.2
1921,4.2
1922,3.4
1923,5.0
1924,3.4
1925,3.4
1926,4.6
1927,5.0
1928,3.4
1929,3.8
1930,4.6
1931,2.6
1932,4.2
1933,3.3333333333333335
1934,4.6
1935,5.8
1936,4.6
1937,5.4
1938,4.2
1939,4.6
1940,3.8
1941,3.4
1942,5.4
1943,4.6
1944,5.0
1945,4.6
1946,3.8
1947,3.4
1948,2.6666666666666665
1949,5.8
1950,4.2
1951,4.2
1952,5.0
1953,4.2
1954,4.2
1955,3.3333333333333335
1956,3.8
1957,4.6
1958,5.0
1959,5.8
1960,4.2
1961,4.6
1962,4.6
1963,3.0
1964,4.2
1965,3.8
1966,5.0
1967,4.6
1968,3.8
1969,4.2
1970,3.8
1971,4.2
1972,4.6
1973,4.6
1974,3.4
1975,5.4
1976,4.6
1977,4.2
1978,5.0
1979,5.0
1980,5.8
1981,2.6
1982,3.4
1983,5.0
1984,2.2
